iter	Logloss
0	0.3673394783
1	0.2681025741
2	0.249719441
3	0.2372267389
4	0.2343247401
5	0.2310285566
6	0.2284654203
7	0.226869028
8	0.225838942
9	0.225155699
10	0.22503129
11	0.22476068
12	0.2233677882
13	0.2220536957
14	0.2212736556
15	0.221017258
16	0.2206664288
17	0.2201305512
18	0.2196240214
19	0.2189681875
20	0.2178966583
21	0.2177378858
22	0.2170838563
23	0.216587214
24	0.2163472835
25	0.2160245576
26	0.2154673905
27	0.2152342956
28	0.2149339901
29	0.2144801263
30	0.2140883637
31	0.2137644699
32	0.213435367
33	0.2129555099
34	0.2125414035
35	0.2123286849
36	0.2121435476
37	0.2114033821
38	0.2109214292
39	0.2107262617
40	0.2103610296
41	0.2097514437
42	0.2095865482
43	0.2094563064
44	0.2090563767
45	0.2088595186
46	0.2087427845
47	0.2085130538
48	0.2084386988
49	0.208245594
50	0.2078483847
51	0.2072720651
52	0.2070121355
53	0.206892314
54	0.2066273117
55	0.2064068508
56	0.2062863804
57	0.2060873264
58	0.2058822111
59	0.205678414
60	0.2054195929
61	0.2051740677
62	0.2050148426
63	0.2047941043
64	0.2046919569
65	0.2045348226
66	0.2044080406
67	0.2037964808
68	0.2028779073
69	0.2027662479
70	0.2025228921
71	0.2024587508
72	0.2021186811
73	0.2017222505
74	0.201584815
75	0.2014303047
76	0.2012316699
77	0.2009108351
78	0.2007362275
79	0.2006149924
80	0.2003937136
81	0.2000004708
82	0.199897608
83	0.1997014155
84	0.1991854228
85	0.1989149711
86	0.1987493317
87	0.1986347283
88	0.1985749027
89	0.198562652
90	0.1985457983
91	0.1983521854
92	0.1982750318
93	0.1980988782
94	0.1980648837
95	0.1980225228
96	0.197886073
97	0.1977123237
98	0.1976437876
99	0.1974397421
100	0.1971505515
101	0.1967060009
102	0.1966427196
103	0.1965526804
104	0.1965217841
105	0.1964569194
106	0.1964415419
107	0.1962915459
108	0.1962520598
109	0.195961386
110	0.1959495578
111	0.1958539993
112	0.1953600075
113	0.1951725369
114	0.1949692297
115	0.194890683
116	0.1948182474
117	0.1945721861
118	0.19424282
119	0.1940723813
120	0.1936055167
121	0.1933172023
122	0.1931179607
123	0.1930218114
124	0.1927870897
125	0.1927611242
126	0.1927051182
127	0.1924425294
128	0.1922956375
129	0.1920147435
130	0.19200516
131	0.1919761832
132	0.1918278278
133	0.1917203973
134	0.1917019433
135	0.1914858897
136	0.1913763641
137	0.1912770114
138	0.1909246731
139	0.190837961
140	0.1907279727
141	0.1907015595
142	0.1906742504
143	0.1906225684
144	0.1906206688
145	0.1905965394
146	0.1904182873
147	0.1901607976
148	0.1898833591
149	0.1896709633
150	0.1893967107
151	0.1891438375
152	0.1891185962
153	0.1889162658
154	0.1887030853
155	0.1885549292
156	0.1881350775
157	0.1880295677
158	0.1880085842
159	0.1878074305
160	0.1877687641
161	0.187616301
162	0.187545658
